сб сент. 25 2021,"5, fff, 5"
EMG,GSR(Om),HR
0,0
0,0
1213,0
3217,0
495,0
0,0
1,0
0,0
2713,0
223,0
1,0
0,0
2161,0
2070,0
87,0
0,0
0,0
2899,0
1744,20460000.0
12,0
0,0
0,0
0,0
3206,0
948,0
8,0
0,0
2122,0
2447,0
1186,0
12,0
0,0
0,0
0,0
3155,0
1738,0
600,0
3,0
0,0
2700,0
2244,0
1214,0
228,0
0,0
0,0
2337,0
1037,0
2,0
0,0
0,0
2636,0
1271,0
11,0
0,0
1,0
3054,0
1992,20460000.0
407,0
0,0
0,0
3016,0
2063,0
925,0
4,0
0,0
0,20460000.0
3183,0
1496,0
558,0
0,0
3,0
1876,0
2959,0
1811,20460000.0
890,0
0,0
0,0
1,0
3175,0
1948,0
1008,0
8,0
0,0
0,0
3190,0
1837,0
878,0
1,10220000.0
0,0
3020,0
2420,0
1342,0
6,0
0,0
2821,0
2273,0
1265,0
9,0
0,0
0,0
3176,0
1739,0
627,0
0,0
0,0
1784,0
2244,0
1032,0
8,0
0,0
0,0
3155,0
1651,0
369,0
0,0
0,0
0,0
2620,0
1351,0
141,0
1,0
0,0
0,0
3118,0
1952,0
971,0
1,0
0,0
0,0
3065,0
2111,0
975,0
8,0
0,0
0,0
3138,0
1716,0
255,0
0,0
0,0
2319,0
2085,0
701,0
1,20460000.0
0,0
3149,0
1792,0
509,0
0,0
0,0
0,0
2509,0
1226,0
8,0
1,0
1,0
3158,0
1927,0
953,0
6,0
0,0
0,0
3199,20460000.0
1469,0
382,0
0,0
0,0
2833,0
2445,0
1483,0
675,0
2,0
0,0
0,0
3194,0
1621,0
619,0
0,0
0,0
0,0
2255,0
1071,0
0,0
0,0
2072,0
2378,0
1342,0
4,0
0,0
1775,0
2369,0
1214,0
7,0
1,0
0,20460000.0
3123,0
1871,0
774,20460000.0
0,0
0,0
3142,0
1957,0
858,0
3,0
0,0
0,0
3205,0
1664,0
697,0
2863,0
2199,0
1161,0
5,0
0,0
0,0
3045,0
2154,0
1034,0
8,0
0,0
0,0
2256,0
1253,0
337,0
0,0
0,0
2441,20460000.0
1867,0
655,0
0,0
0,0
3141,0
1831,0
745,0
5,0
0,0
0,0
3049,0
2131,0
1165,0
10,0
0,0
0,0
0,0
2375,0
1323,0
357,0
0,20460000.0
0,0
0,0
3180,0
0,0
0,0
3042,0
1867,0
572,0
1,0
0,0
0,0
2256,0
1027,0
5,0
0,0
0,0
3065,0
2138,0
1194,0
124,0
0,0
0,0
2806,0
1916,0
735,0
2,0
0,0
0,0
2214,0
1953,0
403,0
0,0
0,0
2295,0
285,0
0,0
0,0
3094,0
1340,0
81,0
0,0
0,0
2443,0
1835,0
458,0
1,20460000.0
0,0
1795,0
2027,0
632,0
0,0
0,0
0,0
3176,0
1287,0
50,0
0,0
0,0
0,0
3161,0
1644,0
598,0
2,0
0,0
0,0
2027,0
2201,0
1047,0
10,0
0,0
0,0
3178,0
1101,0
7,0
1,0
0,0
3183,0
1142,0
8,0
0,0
0,0
2520,0
1861,0
523,0
3,0
0,0
0,0
2596,0
0,0
0,0
0,0
3052,0
1772,0
598,0
4,0
2,0
0,0
2947,0
1156,0
2,0
0,0
0,0
3138,0
1073,0
5,0
3,0
0,0
0,0
3123,0
6,0
0,0
0,0
0,0
3121,0
1434,0
234,0
1,0
0,0
0,0
2079,0
426,0
1,0
0,0
0,0
3133,0
1457,0
8,0
3,0
0,0
0,20460000.0
3156,0
1398,20460000.0
252,0
0,0
0,0
0,0
2389,0
2093,0
711,0
1,0
0,0
0,0
3184,0
1322,0
8,0
0,0
0,0
2490,0
2078,0
843,0
8,0
1,0
0,0
2177,0
2129,0
1147,0
262,0
0,0
0,0
1,0
3057,0
1792,0
603,0
0,0
0,0
0,0
3009,0
1890,0
889,0
3,0
1,0
3142,0
1335,0
129,0
0,0
0,0
2447,0
1174,0
158,0
1,0
0,0
0,0
2715,0
1535,0
694,0
4,0
0,0
1,0
3142,0
1714,0
652,0
4,0
0,0
0,0
2759,0
1723,0
366,20460000.0
0,0
0,0
0,0
1828,0
680,0
2,0
0,0
0,0
3132,0
1558,0
568,0
4,0
0,0
0,0
3046,0
1874,0
1005,0
168,0
1,0
0,0
0,0
3122,0
1588,0
494,0
2,0
1,0
0,0
1759,0
261,0
0,0
0,0
1583,0
1704,0
467,0
0,0
0,0
0,0
3043,0
1762,0
573,0
4,0
0,0
0,0
1,0
2081,0
700,0
4,20460000.0
0,0
0,0
0,0
2154,20460000.0
573,0
0,0
0,0
0,6806666.666666667
1746,0
281,0
0,0
0,0
3025,0
1206,0
8,0
6,0
0,0
0,0
2024,0
690,0
3,0
0,0
0,0
0,0
3102,0
1256,0
124,0
1,0
0,0
0,0
0,0
1935,0
201,0
0,0
0,0
0,0
1548,0
102,0
0,0
0,0
0,0
2110,0
60,0
0,0
0,0
0,0
3067,0
1389,0
408,0
2,0
0,0
0,0
0,0
2291,0
1074,0
11,0
0,0
0,0
0,0
1917,0
61,0
0,0
0,20460000.0
1904,0
672,0
0,0
0,0
2436,0
717,0
0,0
0,20460000.0
0,0
0,0
3127,0
1391,0
258,0
0,5100000.0
0,0
0,0
3079,0
1198,0
6,0
0,0
1,0
2106,0
560,0
0,20460000.0
0,0
0,0
1985,0
527,0
0,0
1,0
0,0
2179,0
1097,0
83,0
1,0
0,0
0,0
2334,0
1718,0
498,0
0,0
0,0
0,0
0,0
1757,0
315,0
0,0
0,0
0,0
1606,0
272,0
0,0
0,0
0,0
1840,0
806,0
9,0
0,0
1,0
0,0
3162,0
1152,0
79,0
0,0
0,0
0,0
2242,0
1360,0
44,0
0,0
0,0
0,20460000.0
1501,0
8,0
0,0
0,0
3081,0
1187,0
10,0
0,0
0,20460000.0
3132,0
1341,0
435,0
0,0
0,0
0,0
3044,0
1469,0
417,0
0,0
0,0
0,0
1957,0
503,0
0,0
0,0
0,0
1969,0
589,0
0,0
0,0
2770,0
1201,0
89,0
0,20460000.0
0,0
0,0
861,0
1982,0
733,0
4,0
0,0
0,0
0,0
3152,0
1210,0
214,0
1,20460000.0
0,0
0,0
2103,0
859,0
5,0
0,0
0,0
0,0
1036,0
7,0
1,0
0,0
0,0
2034,0
661,0
4,0
0,0
0,0
0,0
3023,0
1203,0
146,20460000.0
1,0
0,0
0,0
0,20460000.0
1497,0
458,20460000.0
1,0
0,0
0,0
1446,0
60,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,0
0,0
0,0
0,0
0,0
0,0
1,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
3,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
21,0
0,0
0,0
0,0
0,0
0,0
523,0
1,0
0,0
0,0
0,0
0,0
0,20460000.0
61,0
0,0
1,0
0,0
0,20460000.0
451,0
1,0
0,0
0,0
1,0
330,0
1,0
1,0
0,20460000.0
0,0
0,0
209,0
0,0
0,0
1,0
161,0
117,0
0,0
0,0
0,0
0,0
0,0
266,0
0,0
0,0
0,0
0,0
40,0
0,0
0,0
0,0
0,0
23,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,20460000.0
0,0
85,0
0,0
0,0
0,20460000.0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,20460000.0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
36,0
0,0
0,0
1,0
0,0
0,0
92,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
71,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
15,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,20460000.0
0,0
96,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,20460000.0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
0,0
17,0
0,0
0,0
0,0
0,0
0,0
40,0
0,0
0,0
0,0
0,0
0,0
50,0
0,0
0,0
0,0
47,0
0,0
0,0
0,0
0,0
34,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,20460000.0
0,0
0,0
23,0
0,0
0,20460000.0
0,0
0,0
0,0
15,0
0,0
1,0
0,0
1,0
0,0
1,0
20,0
0,0
0,0
0,0
0,0
0,0
44,0
18,0
0,0
0,0
0,0
56,0
61,0
0,0
0,0
0,0
18,0
100,0
97,20460000.0
48,0
1,0
0,0
31,0
121,0
120,0
81,0
23,0
16,0
61,0
149,0
145,0
101,0
54,0
76,0
156,0
208,0
192,0
158,0
124,0
141,0
198,0
278,0
282,0
238,0
202,0
223,0
291,0
356,0
349,0
289,0
284,0
333,0
426,0
432,0
402,0
356,0
347,0
377,0
483,0
505,0
483,0
433,0
454,0
526,0
613,0
601,0
567,0
572,0
655,0
747,0
713,0
674,0
717,0
810,0
803,0
735,0
711,0
797,0
815,0
771,0
795,0
770,20460000.0
678,0
650,0
675,0
742,20460000.0
710,20460000.0
629,0
668,0
642,0
578,0
511,0
520,0
558,0
591,0
555,0
465,0
436,0
474,0
531,0
469,0
391,0
395,20460000.0
452,0
481,0
448,20460000.0
383,0
352,0
373,0
438,0
455,0
440,0
391,0
350,0
361,0
405,0
486,0
493,0
471,0
430,0
459,0
592,0
636,0
607,0
651,0
731,0
832,0
840,0
827,20460000.0
833,0
890,0
958,0
1062,20460000.0
1097,0
1106,0
1110,0
1156,0
1238,0
1407,0
1431,0
1456,0
1461,0
1485,20460000.0
1593,0
1730,0
1794,0
1806,0
1840,0
1930,0
2062,0
2111,0
2113,0
2109,0
2142,0
2348,0
2376,0
2370,0
2357,0
2401,0
2456,0
2563,0
2584,0
2582,0
2547,0
2547,0
2613,0
2736,0
2737,0
2706,0
2692,0
2745,0
2853,0
2849,0
2810,0
2769,0
2811,0
2904,0
2889,0
2852,0
2787,10220000.0
2775,0
2820,0
2910,0
2907,0
2882,0
2838,0
2773,0
2778,0
2812,0
2887,0
2878,0
2825,0
2752,0
2726,0
2765,0
2836,0
2786,0
2714,0
2669,0
2679,0
2746,0
2708,0
2634,0
2560,0
2563,0
2591,0
2654,0
2610,0
2461,0
2459,0
2487,0
2536,0
2511,0
2436,0
2367,0
2340,0
2361,0
2430,0
2386,0
2273,0
2227,0
2248,0
2320,0
2288,0
2198,0
2109,0
2117,0
2200,20460000.0
2167,0
2108,0
1954,0
1959,0
2014,0
2000,0
1933,0
1851,0
1786,0
1771,0
1783,0
1844,0
1802,0
1712,0
1627,0
1655,0
1729,0
1688,0
1626,0
1573,0
1561,0
1596,0
1690,0
1665,0
1607,0
1545,20460000.0
1537,0
1570,20460000.0
1669,0
1665,0
1600,0
1519,0
1531,0
1635,0
1624,0
1555,0
1470,0
1457,0
1543,0
1547,0
1485,0
1395,0
1362,0
1379,0
1481,0
1450,0
1408,0
1346,0
1306,0
1391,0
1369,0
1310,0
1237,0
1201,0
1205,0
1277,0
1300,0
1229,0
1127,0
1136,0
1227,0
1218,0
1133,0
1062,0
1065,0
1169,0
1147,0
1083,0
1013,0
1001,0
1034,0
1111,0
1091,20460000.0
1042,0
964,0
943,0
993,0
1038,0
966,0
888,0
887,0
979,0
965,0
892,0
821,0
821,0
865,0
928,0
912,0
864,0
788,0
760,0
784,0
872,0
865,0
825,0
755,20460000.0
719,0
738,5100000.0
818,0
805,0
725,0
677,0
706,0
789,0
772,0
717,0
661,0
651,0
682,0
764,0
785,0
746,0
679,0
647,0
665,0
711,0
776,0
737,0
662,0
644,0
703,0
763,0
738,0
654,0
627,0
656,0
747,0
752,0
711,0
638,0
617,0
666,0
736,0
724,0
690,0
626,0
599,0
624,0
711,0
707,0
625,0
589,0
637,0
720,0
694,0
625,0
603,20460000.0
663,0
737,0
714,0
660,0
615,0
622,0
653,0
734,0
739,0
699,0
631,0
611,0
640,0
703,0
735,0
712,0
637,0
615,0
703,0
739,0
699,20460000.0
633,0
655,0
758,20460000.0
777,0
740,0
692,0
678,0
707,0
755,0
829,0
832,0
788,0
746,0
757,0
803,0
882,0
889,0
842,0
786,0
836,20460000.0
925,0
910,0
847,0
828,0
894,0
954,0
938,0
876,0
841,0
858,0
892,0
963,0
971,0
935,0
873,0
861,0
892,0
970,0
984,0
968,0
891,0
888,0
970,20460000.0
1013,0
975,0
913,0
959,0
1054,0
1053,0
1007,0
965,0
992,0
1058,0
1112,0
1111,0
1071,0
1017,0
1030,0
1080,0
1150,0
1154,0
1117,0
1065,0
1052,0
1090,0
1180,0
1180,0
1112,0
1080,0
1127,0
1207,0
1176,0
1105,0
1092,0
1118,0
1173,20460000.0
1209,0
1201,0
1158,0
1097,0
1103,0
1149,0
1214,0
1212,0
1165,0
1112,0
1104,0
1138,0
1218,10220000.0
1218,0
1145,0
1111,0
1157,0
1229,0
1222,0
1153,0
1118,0
1131,0
1170,0
1241,0
1242,0
1205,0
1145,0
1143,0
1182,0
1250,0
1279,20460000.0
1232,0
1169,0
1191,0
1271,0
1299,0
1269,0
1197,0
1210,0
1296,0
1307,0
1267,0
1211,0
1193,0
1217,0
1265,0
1313,0
1290,0
1245,0
1190,0
1208,0
1258,0
1314,20460000.0
1310,0
1266,0
1209,0
1208,0
1285,0
1317,0
1267,0
1203,0
1193,0
1239,0
1281,0
1216,0
1175,0
1201,0
1275,0
1282,0
1245,0
1179,0
1147,0
1163,0
1212,0
1261,0
1238,0
1170,0
1124,0
1168,0
1231,0
1196,0
1110,0
1103,0
1168,0
1198,0
1160,0
1095,0
1137,0
1157,0
1135,0
1079,0
1021,0
1034,0
1073,0
1130,0
1123,0
1076,20460000.0
1003,0
1013,0
1075,0
1112,0
1069,0
1048,0
1106,0
1089,0
1026,0
991,0
1003,0
1042,0
1106,0
1101,0
1064,0
1010,0
999,0
1058,0
1109,0
1064,0
998,0
999,0
1076,0
1106,0
1051,0
987,20460000.0
993,0
1034,0
1095,0
1092,0
1049,0
994,0
978,0
1004,0
1053,0
1096,0
1049,0
993,0
982,0
1014,0
1079,0
1102,0
1069,0
1005,0
991,0
1067,0
1101,0
1076,0
1007,0
992,0
1053,0
1103,0
1089,0
1054,0
1002,0
984,0
1020,0
1086,0
1098,0
1071,0
1017,0
976,0
1002,0
1082,0
1046,0
960,0
964,0
1048,0
1033,0
957,0
925,0
967,0
1027,0
1015,0
976,0
919,0
917,20460000.0
973,0
1027,0
1007,0
956,0
911,0
918,0
960,0
1032,20460000.0
1034,0
982,20460000.0
926,0
964,0
1035,0
1046,0
991,0
941,0
984,0
1048,0
1059,0
1036,20460000.0
975,0
1081,0
1080,0
1041,0
988,20460000.0
987,0
1019,0
1099,0
1096,0
1038,0
999,0
1033,0
1104,0
1040,0
1002,0
1007,0
1048,0
1115,0
1083,0
1028,0
996,0
1008,0
1046,0
1106,0
1104,0
1052,0
998,0
1041,0
1107,0
1117,0
1060,0
1012,0
1045,0
1122,0
1134,0
1103,0
1043,0
1032,0
1064,0
1105,0
1057,0
1064,0
1110,0
1169,0
1181,0
1155,0
1101,0
1088,10220000.0
1147,0
1230,0
1206,0
1156,0
1155,0
1267,0
1271,0
1210,0
1203,0
1246,0
1313,0
1329,0
1307,0
1258,0
1223,0
1249,0
1300,0
1357,20460000.0
1350,0
1312,0
1259,0
1262,0
1300,20460000.0
1377,0
1366,0
1304,0
1293,0
1338,0
1402,0
1369,0
1294,0
1304,20460000.0
1355,0
1407,0
1389,0
1334,0
1298,0
1308,0
1366,0
1406,0
1392,0
1352,0
1303,0
1294,0
1318,0
1378,0
1406,0
1373,0
1305,0
1290,20460000.0
1312,0
1374,0
1400,0
1366,0
1296,0
1303,0
1377,0
1390,0
1315,0
1274,0
1305,0
1364,0
1381,0
1346,0
1273,0
1278,0
1350,0
1374,0
1331,20460000.0
1281,0
1268,0
1299,0
1368,0
1382,0
1352,20460000.0
1292,0
1294,20460000.0
1381,0
1398,0
1350,0
1290,0
1314,0
1388,0
1403,0
1370,0
1301,0
1293,0
1335,0
1397,0
1406,0
1369,0
1306,0
1297,0
1318,0
1365,0
1408,0
1391,0
1345,0
1297,0
1302,0
1341,0
1405,0
1394,0
1343,0
1291,0
1335,0
1396,0
1377,0
1302,0
1290,0
1338,0
1392,0
1381,0
1323,0
1281,0
1280,0
1309,0
1367,0
1384,0
1350,0
1298,0
1269,0
1290,0
1338,0
1380,0
1366,0
1290,0
1277,0
1338,0
1379,20460000.0
1346,0
1268,0
1321,0
1381,0
1363,0
1315,0
1385,0
1370,0
1330,0
1272,0
1290,0
1349,0
1382,0
1362,0
1309,0
1274,0
1335,0
1384,0
1352,0
1281,20460000.0
1309,0
1373,0
1385,0
1347,0
1335,0
1381,0
1376,0
1331,0
1285,0
1286,0
1325,0
1387,0
1384,0
1348,0
1287,0
1328,0
1396,0
1378,0
1305,0
1294,0
1336,0
1395,0
1392,0
1362,0
1318,0
1290,0
1294,0
1332,0
1392,0
1385,0
1340,0
1290,0
