пт сент. 3 2021,"6, frrr frrr frrrr, 20"
EMG,GSR(Om),HR
1478,85025.64102564103
1478,87225.13089005236
1474,84489.79591836735
1472,81386.13861386139
1476,82400.0
1476,86113.9896373057
1478,85567.01030927835
1475,83959.39086294416
1483,81890.5472636816
1475,84489.79591836735
1481,87225.13089005236
1474,85567.01030927835
1473,82914.57286432161
1478,81890.5472636816
1475,82914.57286432161
1474,85025.64102564103
1476,86666.66666666667
1478,85567.01030927835
1477,82400.0
1477,81386.13861386139
1478,83434.34343434343
1476,86666.66666666667
1475,85567.01030927835
1475,83959.39086294416
1472,81386.13861386139
1475,82400.0
1478,85025.64102564103
1474,87225.13089005236
1473,85567.01030927835
1481,82400.0
1478,81386.13861386139
1478,81890.5472636816
1479,84489.79591836735
1477,86113.9896373057
1479,86113.9896373057
1478,83959.39086294416
1479,80886.69950738916
1476,82400.0
1482,84489.79591836735
1483,87225.13089005236
1481,85567.01030927835
1483,83434.34343434343
1478,81386.13861386139
1486,82400.0
1477,86666.66666666667
1486,86113.9896373057
1484,82914.57286432161
1483,81386.13861386139
1482,83434.34343434343
1489,86666.66666666667
1488,84489.79591836735
1489,81386.13861386139
1491,81386.13861386139
1491,83434.34343434343
1495,85567.01030927835
1494,86666.66666666667
1493,84489.79591836735
1494,81890.5472636816
1489,80886.69950738916
1489,82914.57286432161
1487,86113.9896373057
1488,86113.9896373057
1485,83959.39086294416
1487,80886.69950738916
1488,82400.0
1491,85025.64102564103
1482,86666.66666666667
1487,83434.34343434343
1491,81386.13861386139
1486,81890.5472636816
1485,83959.39086294416
1482,86113.9896373057
1491,86666.66666666667
1487,85025.64102564103
1484,81890.5472636816
1483,80886.69950738916
1491,82400.0
1476,86113.9896373057
1489,86113.9896373057
1485,84489.79591836735
1486,82400.0
1490,81386.13861386139
1484,83434.34343434343
1488,86113.9896373057
1492,85567.01030927835
1486,82400.0
1487,80886.69950738916
1479,83959.39086294416
1483,86113.9896373057
1483,85567.01030927835
1488,82400.0
1483,81386.13861386139
1491,83434.34343434343
1486,86666.66666666667
1486,86113.9896373057
1489,82914.57286432161
1485,81386.13861386139
1486,82914.57286432161
1484,87225.13089005236
1486,85567.01030927835
1473,82400.0
1478,80886.69950738916
1481,83959.39086294416
1476,87225.13089005236
1479,85567.01030927835
1476,82400.0
1480,81386.13861386139
1474,83434.34343434343
1478,86113.9896373057
1475,86113.9896373057
1479,84489.79591836735
1481,81386.13861386139
1483,81386.13861386139
1483,83434.34343434343
1484,86113.9896373057
1485,87225.13089005236
1489,85567.01030927835
1485,82400.0
1487,81890.5472636816
1492,82914.57286432161
1492,85025.64102564103
1490,86666.66666666667
1490,83959.39086294416
1495,81890.5472636816
1493,82400.0
1490,84489.79591836735
1489,87225.13089005236
1495,85567.01030927835
1489,81890.5472636816
1492,82400.0
1491,85567.01030927835
1488,87789.47368421052
1493,85567.01030927835
1490,82914.57286432161
1488,81890.5472636816
1489,84489.79591836735
1494,86113.9896373057
1490,86113.9896373057
1490,83959.39086294416
1492,81386.13861386139
1495,82400.0
1496,85025.64102564103
1494,87789.47368421052
1497,85567.01030927835
1496,82400.0
1500,81890.5472636816
1495,84489.79591836735
1492,87225.13089005236
1500,86666.66666666667
1500,84489.79591836735
1502,81890.5472636816
1499,83434.34343434343
1495,86113.9896373057
1500,87225.13089005236
1499,85025.64102564103
1499,81890.5472636816
1499,81890.5472636816
1499,84489.79591836735
1499,87225.13089005236
1501,87225.13089005236
1505,84489.79591836735
1500,81890.5472636816
1499,82400.0
1499,83959.39086294416
1502,86113.9896373057
1504,87225.13089005236
1505,85567.01030927835
1504,82914.57286432161
1504,81890.5472636816
1507,83959.39086294416
1507,85567.01030927835
1510,87225.13089005236
1508,85567.01030927835
1506,82914.57286432161
1510,82400.0
1510,82914.57286432161
1506,86666.66666666667
1504,87225.13089005236
1503,86113.9896373057
1502,82914.57286432161
1504,82400.0
1499,85025.64102564103
1499,87789.47368421052
1498,86666.66666666667
1499,83959.39086294416
1502,82400.0
1498,84489.79591836735
1499,87789.47368421052
1487,87225.13089005236
1497,85025.64102564103
1502,81890.5472636816
1499,83434.34343434343
1495,87789.47368421052
1501,87225.13089005236
1500,85567.01030927835
1502,82400.0
1500,82400.0
1499,85567.01030927835
1499,87789.47368421052
1497,87225.13089005236
1500,84489.79591836735
1496,82400.0
1496,84489.79591836735
1498,86113.9896373057
1495,88359.78835978836
1495,85567.01030927835
1498,82400.0
1497,83959.39086294416
1500,86666.66666666667
1502,88936.17021276595
1499,86666.66666666667
1496,83959.39086294416
1502,82914.57286432161
1499,85567.01030927835
1496,87225.13089005236
1500,87789.47368421052
1502,87225.13089005236
1501,85567.01030927835
1498,82400.0
1505,83434.34343434343
1502,86666.66666666667
1500,88936.17021276595
1502,86666.66666666667
1501,83959.39086294416
1498,82914.57286432161
1505,84489.79591836735
1498,87225.13089005236
1504,88936.17021276595
1507,87225.13089005236
1503,85567.01030927835
1499,82914.57286432161
1501,83959.39086294416
1503,87225.13089005236
1499,88936.17021276595
1500,86666.66666666667
1501,83959.39086294416
1508,83434.34343434343
1501,85025.64102564103
1500,88359.78835978836
1504,88359.78835978836
1501,85567.01030927835
1503,83434.34343434343
1497,85025.64102564103
1494,87789.47368421052
1495,88359.78835978836
1497,87225.13089005236
1498,84489.79591836735
1492,83959.39086294416
1497,85567.01030927835
1491,88359.78835978836
1491,88936.17021276595
1496,87225.13089005236
1491,83959.39086294416
1492,83959.39086294416
1487,85567.01030927835
1491,87789.47368421052
1492,89518.71657754011
1485,88359.78835978836
1483,84489.79591836735
1491,82914.57286432161
1486,84489.79591836735
1485,87225.13089005236
1480,88936.17021276595
1479,88359.78835978836
1489,86113.9896373057
1489,83959.39086294416
1486,84489.79591836735
1481,86666.66666666667
1482,87225.13089005236
1482,83434.34343434343
1480,85025.64102564103
1483,87789.47368421052
1477,90107.52688172043
1481,86666.66666666667
1479,84489.79591836735
1480,85567.01030927835
1477,89518.71657754011
1479,88936.17021276595
1478,86113.9896373057
1479,83959.39086294416
1481,85567.01030927835
1474,89518.71657754011
1481,88936.17021276595
1478,86666.66666666667
1482,83959.39086294416
1478,85025.64102564103
1481,87225.13089005236
1475,90107.52688172043
1479,88936.17021276595
1480,86666.66666666667
1475,84489.79591836735
1479,85025.64102564103
1479,87789.47368421052
1483,90702.7027027027
1481,88936.17021276595
1478,87225.13089005236
1480,84489.79591836735
1483,85567.01030927835
1480,88359.78835978836
1479,90107.52688172043
1484,88936.17021276595
1477,84489.79591836735
1479,85567.01030927835
1475,89518.71657754011
1477,88936.17021276595
1479,87225.13089005236
1483,85025.64102564103
1479,86666.66666666667
1480,90107.52688172043
1478,89518.71657754011
1476,86666.66666666667
1483,85025.64102564103
1475,87789.47368421052
1480,90702.7027027027
1476,88936.17021276595
1479,85567.01030927835
1475,85025.64102564103
1478,85567.01030927835
