ср сент. 15 2021,"5, fff, 5"
['2751'],['366415.09433962265']
['2644'],['397959.1836734694']
['2564'],['435111.1111111111']
['2608'],['479512.1951219512']
['2796'],['505128.2051282051']
['2965'],['445454.54545454547']
['3083'],['397959.1836734694']
['3067'],['352363.63636363635']
['2947'],['315737.7049180328']
['2811'],['333103.4482758621']
['2699'],['359259.25925925927']
['2613'],['381568.6274509804']
['2540'],['415744.6808510638']
['2694'],['456279.06976744183']
['2872'],['445454.54545454547']
['3004'],['389600.0']
['3159'],['352363.63636363635']
['2989'],['300000.0']
['2848'],['305079.3650793651']
['2736'],['321333.3333333333']
['2628'],['352363.63636363635']
['2560'],['373846.1538461539']
['2535'],['406666.6666666667']
['2751'],['435111.1111111111']
['2911'],['415744.6808510638']
['3036'],['366415.09433962265']
['3116'],['327118.6440677966']
['2954'],['290303.0303030303']
['2824'],['295076.92307692306']
['2703'],['315737.7049180328']
['2613'],['339298.2456140351']
['2555'],['366415.09433962265']
['2582'],['397959.1836734694']
['2773'],['425217.39130434784']
['2927'],['381568.6274509804']
['3074'],['339298.2456140351']
['3055'],['315737.7049180328']
['2902'],['290303.0303030303']
['2762'],['300000.0']
['2665'],['327118.6440677966']
['2577'],['339298.2456140351']
['2705'],['352363.63636363635']
['2848'],['366415.09433962265']
['3014'],['373846.1538461539']
['3145'],['381568.6274509804']
['3232'],['373846.1538461539']
['3060'],['397959.1836734694']
['2907'],['397959.1836734694']
['2735'],['415744.6808510638']
['2596'],['415744.6808510638']
['2513'],['435111.1111111111']
['2619'],['456279.06976744183']
['2799'],['467619.04761904763']
['2959'],['479512.1951219512']
['3111'],['479512.1951219512']
['3185'],['492000.0']
['3000'],['492000.0']
['2798'],['518947.36842105264']
['2641'],['533513.5135135135']
['2532'],['533513.5135135135']
['2481'],['565142.8571428572']
['2674'],['582352.9411764706']
['2847'],['600606.0606060605']
['3004'],['582352.9411764706']
['3123'],['582352.9411764706']
['3049'],['620000.0']
['2887'],['640645.1612903225']
['2704'],['662666.6666666666']
['2564'],['662666.6666666666']
['2470'],['686206.8965517242']
['2558'],['711428.5714285715']
['2724'],['767692.3076923077']
['2877'],['738518.5185185185']
['3004'],['767692.3076923077']
['3152'],['799200.0']
['2999'],['799200.0']
['2834'],['767692.3076923077']
['2660'],['799200.0']
['2534'],['799200.0']
['2460'],['833333.3333333334']
['2591'],['870434.7826086957']
['2734'],['955238.0952380953']
['2899'],['955238.0952380953']
['3038'],['955238.0952380953']
['3169'],['955238.0952380953']
['2973'],['955238.0952380953']
['2829'],['1004000.0']
['2638'],['1004000.0']
['2521'],['1004000.0']
['2460'],['1117777.7777777778']
['2623'],['1184705.8823529412']
['2779'],['1260000.0']
['2942'],['1260000.0']
['3059'],['1260000.0']
['3128'],['1184705.8823529412']
['2956'],['1117777.7777777778']
['2783'],['1345333.3333333333']
['2603'],['1260000.0']
['2507'],['1260000.0']
['2522'],['1345333.3333333333']
['2733'],['1442857.142857143']
['2890'],['1555384.6153846155']
['3036'],['1442857.142857143']
['3182'],['1555384.6153846155']
['3052'],['1555384.6153846155']
['2856'],['1686666.6666666667']
['2687'],['1686666.6666666667']
['2562'],['1555384.6153846155']
['2520'],['1841818.1818181819']
['2575'],['2255555.5555555555']
['2752'],['3393333.3333333335']
['2920'],['1841818.1818181819']
['3096'],['1004000.0']
['3041'],['686206.8965517242']
['2754'],['1117777.7777777778']
['2886'],['1184705.8823529412']
['3052'],['910909.0909090909']
['3197'],['711428.5714285715']
['3162'],['565142.8571428572']
['3041'],['492000.0']
['2933'],['518947.36842105264']
['2841'],['565142.8571428572']
['2757'],['620000.0']
['2723'],['711428.5714285715']
['2853'],['738518.5185185185']
['2965'],['833333.3333333334']
['3113'],['738518.5185185185']
['3142'],['425217.39130434784']
['3002'],['435111.1111111111']
['2862'],['479512.1951219512']
['2793'],['548888.8888888889']
['2891'],['640645.1612903225']
['3068'],['640645.1612903225']
['3225'],['533513.5135135135']
['3238'],['435111.1111111111']
['3111'],['366415.09433962265']
['2953'],['397959.1836734694']
['2819'],['456279.06976744183']
['2784'],['518947.36842105264']
['3018'],['582352.9411764706']
['3186'],['505128.2051282051']
['3248'],['415744.6808510638']
['3185'],['352363.63636363635']
['3029'],['352363.63636363635']
['2898'],['381568.6274509804']
['2819'],['406666.6666666667']
['2805'],['456279.06976744183']
['3037'],['518947.36842105264']
['3215'],['479512.1951219512']
['3238'],['406666.6666666667']
['3241'],['366415.09433962265']
['3132'],['321333.3333333333']
['3030'],['321333.3333333333']
['2926'],['352363.63636363635']
['2837'],['389600.0']
['2814'],['415744.6808510638']
['2941'],['445454.54545454547']
['3085'],['492000.0']
['3221'],['435111.1111111111']
['3243'],['381568.6274509804']
['3228'],['333103.4482758621']
['3085'],['305079.3650793651']
['2964'],['321333.3333333333']
['2853'],['352363.63636363635']
['2815'],['389600.0']
['2960'],['435111.1111111111']
['3163'],['435111.1111111111']
['3232'],['366415.09433962265']
['3244'],['321333.3333333333']
['3114'],['281176.4705882353']
['2934'],['321333.3333333333']
['2832'],['345714.28571428574']
['2807'],['381568.6274509804']
['3010'],['415744.6808510638']
['3193'],['397959.1836734694']
['3234'],['352363.63636363635']
['3245'],['310322.5806451613']
['3097'],['281176.4705882353']
['2960'],['305079.3650793651']
['2847'],['333103.4482758621']
['2814'],['366415.09433962265']
['2956'],['397959.1836734694']
['3119'],['397959.1836734694']
['3235'],['352363.63636363635']
['3234'],['321333.3333333333']
['3117'],['290303.0303030303']
['2958'],['305079.3650793651']
['2865'],['321333.3333333333']
['3083'],['327118.6440677966']
['3230'],['345714.28571428574']
['3245'],['352363.63636363635']
['3249'],['366415.09433962265']
['3203'],['373846.1538461539']
['3059'],['373846.1538461539']
['2839'],['389600.0']
['2659'],['397959.1836734694']
['2560'],['406666.6666666667']
['2647'],['435111.1111111111']
['2810'],['435111.1111111111']
['2953'],['456279.06976744183']
['3095'],['445454.54545454547']
['2988'],['456279.06976744183']
['2826'],['467619.04761904763']
['2633'],['492000.0']
['2482'],['492000.0']
['2389'],['533513.5135135135']
['2563'],['548888.8888888889']
['2711'],['565142.8571428572']
['2875'],['582352.9411764706']
['2873'],['582352.9411764706']
['2721'],['565142.8571428572']
['2547'],['582352.9411764706']
['2424'],['620000.0']
['2622'],['640645.1612903225']
['2766'],['711428.5714285715']
['2897'],['738518.5185185185']
['3033'],['738518.5185185185']
['3113'],['738518.5185185185']
['2998'],['767692.3076923077']
['2853'],['711428.5714285715']
['2724'],['738518.5185185185']
['2630'],['738518.5185185185']
['2754'],['870434.7826086957']
['2902'],['955238.0952380953']
['3052'],['1057894.7368421052']
['3202'],['1057894.7368421052']
['3245'],['799200.0']
['3240'],['565142.8571428572']
['3081'],['533513.5135135135']
['2959'],['565142.8571428572']
['2871'],['640645.1612903225']
['3007'],['711428.5714285715']
['3154'],['799200.0']
['3233'],['799200.0']
['3238'],['833333.3333333334']
['3251'],['833333.3333333334']
['3155'],['799200.0']
['3032'],['799200.0']
['2892'],['799200.0']
['2766'],['799200.0']
['2833'],['833333.3333333334']
['2959'],['955238.0952380953']
['3076'],['1057894.7368421052']
['3207'],['1117777.7777777778']
['3234'],['1260000.0']
['3249'],['1184705.8823529412']
['3131'],['1117777.7777777778']
['2993'],['1057894.7368421052']
['2845'],['1004000.0']
['2739'],['1057894.7368421052']
['2896'],['1260000.0']
['3021'],['1442857.142857143']
['3155'],['1555384.6153846155']
['3231'],['1555384.6153846155']
['3241'],['1442857.142857143']
['2841'],['1686666.6666666667']
['3005'],['2028000.0']
['3161'],['2028000.0']
['3243'],['2540000.0']
['3238'],['2540000.0']
['3124'],['1841818.1818181819']
['2978'],['1841818.1818181819']
['2834'],['1841818.1818181819']
['2731'],['2028000.0']
['2897'],['2255555.5555555555']
['3073'],['2540000.0']
['3213'],['2905714.285714286']
['3239'],['2540000.0']
['2831'],['2540000.0']
['2691'],['2540000.0']
['2843'],['2905714.285714286']
['3007'],['3393333.3333333335']
['3162'],['2905714.285714286']
['3245'],['3393333.3333333335']
['3151'],['2905714.285714286']
['2979'],['3393333.3333333335']
['2809'],['3393333.3333333335']
['2737'],['3393333.3333333335']
['2902'],['4076000.0']
['3037'],['4076000.0']
['3170'],['4076000.0']
['3234'],['4076000.0']
['3245'],['4076000.0']
['3243'],['4076000.0']
['2944'],['4076000.0']
['2820'],['3393333.3333333335']
['2929'],['5100000.0']
['3085'],['4076000.0']
['3199'],['6806666.666666667']
['3234'],['5100000.0']
['3242'],['5100000.0']
['3247'],['5100000.0']
['3075'],['5100000.0']
['2944'],['5100000.0']
['2846'],['5100000.0']
['2866'],['5100000.0']
['3024'],['6806666.666666667']
['3136'],['10220000.0']
['3231'],['6806666.666666667']
['3238'],['6806666.666666667']
['3237'],['6806666.666666667']
['3207'],['6806666.666666667']
['3068'],['6806666.666666667']
['2932'],['6806666.666666667']
['2843'],['10220000.0']
['2900'],['10220000.0']
['3242'],['6806666.666666667']
['3234'],['10220000.0']
['3245'],['10220000.0']
['3173'],['6806666.666666667']
['3015'],['5100000.0']
['2887'],['10220000.0']
['2826'],['10220000.0']
['3001'],['20460000.0']
['3105'],['10220000.0']
['3210'],['0']
['3249'],['10220000.0']
['3236'],['20460000.0']
['3241'],['10220000.0']
['3188'],['10220000.0']
['3044'],['10220000.0']
['2927'],['20460000.0']
['2837'],['10220000.0']
['2934'],['10220000.0']
['3046'],['20460000.0']
['3142'],['20460000.0']
['3240'],['20460000.0']
['3234'],['20460000.0']
['3234'],['10220000.0']
['3235'],['20460000.0']
['3113'],['10220000.0']
['2926'],['0']
['3046'],['20460000.0']
['3162'],['10220000.0']
['3231'],['20460000.0']
['3235'],['20460000.0']
['3246'],['20460000.0']
['3207'],['20460000.0']
['3067'],['10220000.0']
['2936'],['20460000.0']
['2853'],['20460000.0']
['2909'],['20460000.0']
['3022'],['20460000.0']
['3126'],['0']
['3219'],['20460000.0']
['3242'],['20460000.0']
['3236'],['0']
['3237'],['20460000.0']
['3147'],['20460000.0']
['3024'],['20460000.0']
['2915'],['20460000.0']
['2840'],['20460000.0']
['2933'],['0']
['3062'],['0']
['3165'],['20460000.0']
['3237'],['0']
['3245'],['0']
['3238'],['20460000.0']
['3232'],['20460000.0']
['3090'],['10220000.0']
['2973'],['0']
['2865'],['0']
['2865'],['0']
['3004'],['0']
['3095'],['20460000.0']
['3197'],['0']
['3239'],['0']
['3247'],['0']
['3246'],['20460000.0']
['3170'],['0']
['3096'],['0']
['3200'],['0']
['3243'],['0']
['3248'],['0']
['3238'],['3393333.3333333335']
['3241'],['1345333.3333333333']
['3124'],['1004000.0']
['3026'],['1184705.8823529412']
['2945'],['1442857.142857143']
['2913'],['1686666.6666666667']
['2994'],['2540000.0']
['3119'],['4076000.0']
['3215'],['3393333.3333333335']
['3241'],['2028000.0']
['3234'],['1184705.8823529412']
['3241'],['799200.0']
['3114'],['662666.6666666666']
['3014'],['711428.5714285715']
['2927'],['799200.0']
['2904'],['910909.0909090909']
['2984'],['1117777.7777777778']
['3109'],['1345333.3333333333']
['3211'],['1260000.0']
['3232'],['870434.7826086957']
['3240'],['662666.6666666666']
['3200'],['533513.5135135135']
['3071'],['518947.36842105264']
['2974'],['565142.8571428572']
['2891'],['640645.1612903225']
['2934'],['738518.5185185185']
['3042'],['799200.0']
['3135'],['910909.0909090909']
['3233'],['799200.0']
['3242'],['620000.0']
['3236'],['505128.2051282051']
['3180'],['435111.1111111111']
['3072'],['435111.1111111111']
['2984'],['479512.1951219512']
['2892'],['518947.36842105264']
['2925'],['548888.8888888889']
['3008'],['620000.0']
['3107'],['711428.5714285715']
['3207'],['640645.1612903225']
['3246'],['565142.8571428572']
['3239'],['467619.04761904763']
['3246'],['406666.6666666667']
['3107'],['373846.1538461539']
['3008'],['397959.1836734694']
['2918'],['435111.1111111111']
['2889'],['467619.04761904763']
['2943'],['518947.36842105264']
['3046'],['565142.8571428572']
['3131'],['600606.0606060605']
['3225'],['533513.5135135135']
['3240'],['467619.04761904763']
['3245'],['415744.6808510638']
['3190'],['359259.25925925927']
['3091'],['359259.25925925927']
['2941'],['381568.6274509804']
['2890'],['415744.6808510638']
['2935'],['456279.06976744183']
['3042'],['479512.1951219512']
['3139'],['518947.36842105264']
['3224'],['492000.0']
['3029'],['339298.2456140351']
['2915'],['373846.1538461539']
['2910'],['397959.1836734694']
['2996'],['425217.39130434784']
['3095'],['479512.1951219512']
['3238'],['415744.6808510638']
['3238'],['366415.09433962265']
['3239'],['315737.7049180328']
['3097'],['305079.3650793651']
['2997'],['327118.6440677966']
['2907'],['352363.63636363635']
['2932'],['389600.0']
['3047'],['415744.6808510638']
['3142'],['456279.06976744183']
['3246'],['415744.6808510638']
['3248'],['359259.25925925927']
['3247'],['327118.6440677966']
['3163'],['290303.0303030303']
['3045'],['300000.0']
['2947'],['321333.3333333333']
['2895'],['345714.28571428574']
['2977'],['366415.09433962265']
['3064'],['397959.1836734694']
['3164'],['435111.1111111111']
['3235'],['415744.6808510638']
['3247'],['373846.1538461539']
['3238'],['339298.2456140351']
['3240'],['300000.0']
['3123'],['281176.4705882353']
['3023'],['295076.92307692306']
['2928'],['321333.3333333333']
['2956'],['345714.28571428574']
['3050'],['373846.1538461539']
['3145'],['415744.6808510638']
['3235'],['397959.1836734694']
['3244'],['366415.09433962265']
['3237'],['327118.6440677966']
['3242'],['295076.92307692306']
['3125'],['276811.59420289856']
['3017'],['295076.92307692306']
['2946'],['310322.5806451613']
['2918'],['333103.4482758621']
['3035'],['359259.25925925927']
['3112'],['381568.6274509804']
['3201'],['406666.6666666667']
['3239'],['381568.6274509804']
['3242'],['339298.2456140351']
['3236'],['310322.5806451613']
['3190'],['276811.59420289856']
['3081'],['276811.59420289856']
['2978'],['300000.0']
['2919'],['321333.3333333333']
['3017'],['345714.28571428574']
['3110'],['310322.5806451613']
['3192'],['272571.4285714286']
['3095'],['276811.59420289856']
['3004'],['290303.0303030303']
['2927'],['310322.5806451613']
['2971'],['327118.6440677966']
['3061'],['345714.28571428574']
['3144'],['373846.1538461539']
['3226'],['381568.6274509804']
['3235'],['352363.63636363635']
['3245'],['315737.7049180328']
['3241'],['295076.92307692306']
['3166'],['264444.44444444444']
['3061'],['276811.59420289856']
['2971'],['290303.0303030303']
['2910'],['310322.5806451613']
['3004'],['333103.4482758621']
['3109'],['352363.63636363635']
['3170'],['373846.1538461539']
['3237'],['366415.09433962265']
['3238'],['339298.2456140351']
['3242'],['300000.0']
['3235'],['276811.59420289856']
['3101'],['272571.4285714286']
['2970'],['285671.6417910448']
['2922'],['310322.5806451613']
['3010'],['327118.6440677966']
['3091'],['345714.28571428574']
['3177'],['373846.1538461539']
['3233'],['359259.25925925927']
['3242'],['333103.4482758621']
['3243'],['300000.0']
['3234'],['272571.4285714286']
['3125'],['260547.94520547945']
['3031'],['272571.4285714286']
['2944'],['295076.92307692306']
['2925'],['310322.5806451613']
['3032'],['327118.6440677966']
['3113'],['359259.25925925927']
['3189'],['373846.1538461539']
['3244'],['352363.63636363635']
['3239'],['321333.3333333333']
['3245'],['290303.0303030303']
['3188'],['260547.94520547945']
['3071'],['268450.7042253521']
['2969'],['285671.6417910448']
['2911'],['300000.0']
['3004'],['327118.6440677966']
['3090'],['352363.63636363635']
['3183'],['373846.1538461539']
['3243'],['339298.2456140351']
['3242'],['305079.3650793651']
['3249'],['276811.59420289856']
['3145'],['260547.94520547945']
['3043'],['272571.4285714286']
['2943'],['290303.0303030303']
['2920'],['305079.3650793651']
['3023'],['327118.6440677966']
['3105'],['352363.63636363635']
['3187'],['373846.1538461539']
['3235'],['339298.2456140351']
['3245'],['315737.7049180328']
['3237'],['290303.0303030303']
['3184'],['256756.75675675675']
['3073'],['264444.44444444444']
['2978'],['366415.09433962265']
['3235'],['345714.28571428574']
['3243'],['310322.5806451613']
['3241'],['276811.59420289856']
['3157'],['256756.75675675675']
['3051'],['327118.6440677966']
['3236'],['352363.63636363635']
['3245'],['310322.5806451613']
['3238'],['290303.0303030303']
['3163'],['256756.75675675675']
['3053'],['272571.4285714286']
['2937'],['290303.0303030303']
['3000'],['321333.3333333333']
['3115'],['352363.63636363635']
['3209'],['345714.28571428574']
['3246'],['315737.7049180328']
['3249'],['290303.0303030303']
['3185'],['260547.94520547945']
['3084'],['260547.94520547945']
['2962'],['281176.4705882353']
['2942'],['305079.3650793651']
['3056'],['333103.4482758621']
['3154'],['359259.25925925927']
['3231'],['339298.2456140351']
['3240'],['305079.3650793651']
['3237'],['281176.4705882353']
['3195'],['256756.75675675675']
['3087'],['256756.75675675675']
['2944'],['290303.0303030303']
['3004'],['327118.6440677966']
['3149'],['352363.63636363635']
['3239'],['315737.7049180328']
['3236'],['295076.92307692306']
['3245'],['268450.7042253521']
['3142'],['256756.75675675675']
['3049'],['264444.44444444444']
['2953'],['276811.59420289856']
['2920'],['305079.3650793651']
['3026'],['321333.3333333333']
['3101'],['333103.4482758621']
['3163'],['359259.25925925927']
['3225'],['352363.63636363635']
['3234'],['315737.7049180328']
['3239'],['290303.0303030303']
['3243'],['264444.44444444444']
['3130'],['256756.75675675675']
['2998'],['276811.59420289856']
['2922'],['295076.92307692306']
['3006'],['310322.5806451613']
['3075'],['339298.2456140351']
['3149'],['359259.25925925927']
['3215'],['345714.28571428574']
['3237'],['321333.3333333333']
['3237'],['295076.92307692306']
['3240'],['268450.7042253521']
['3139'],['256756.75675675675']
['3036'],['268450.7042253521']
['2957'],['285671.6417910448']
['2955'],['305079.3650793651']
['3047'],['327118.6440677966']
['3113'],['345714.28571428574']
['3173'],['366415.09433962265']
['3231'],['339298.2456140351']
['3244'],['305079.3650793651']
['3236'],['285671.6417910448']
['3203'],['256756.75675675675']
['3096'],['260547.94520547945']
['3012'],['272571.4285714286']
['2934'],['295076.92307692306']
['3006'],['310322.5806451613']
['3078'],['327118.6440677966']
['3136'],['345714.28571428574']
['3213'],['352363.63636363635']
['3242'],['327118.6440677966']
['3235'],['305079.3650793651']
['3239'],['276811.59420289856']
['3167'],['253066.66666666666']
['3086'],['260547.94520547945']
['2990'],['272571.4285714286']
['2941'],['295076.92307692306']
['3009'],['310322.5806451613']
['3069'],['333103.4482758621']
['3137'],['352363.63636363635']
['3186'],['359259.25925925927']
['3238'],['333103.4482758621']
['3236'],['295076.92307692306']
['3238'],['256756.75675675675']
['3081'],['260547.94520547945']
['2983'],['276811.59420289856']
['3062'],['327118.6440677966']
['3130'],['352363.63636363635']
['3194'],['345714.28571428574']
['3239'],['333103.4482758621']
['3234'],['310322.5806451613']
['3244'],['285671.6417910448']
['3200'],['256756.75675675675']
['3096'],['260547.94520547945']
['3023'],['268450.7042253521']
['2953'],['285671.6417910448']
['2985'],['305079.3650793651']
['3056'],['327118.6440677966']
['3125'],['339298.2456140351']
['3175'],['359259.25925925927']
['3229'],['339298.2456140351']
['3235'],['310322.5806451613']
['3238'],['285671.6417910448']
['3210'],['260547.94520547945']
['3116'],['256756.75675675675']
['3033'],['272571.4285714286']
['2953'],['285671.6417910448']
['2982'],['300000.0']
['3056'],['327118.6440677966']
['3110'],['339298.2456140351']
['3166'],['359259.25925925927']
['3225'],['345714.28571428574']
['3244'],['310322.5806451613']
['3235'],['285671.6417910448']
['3243'],['264444.44444444444']
['3133'],['256756.75675675675']
['3030'],['268450.7042253521']
['2956'],['285671.6417910448']
['2968'],['295076.92307692306']
['3051'],['315737.7049180328']
['3107'],['352363.63636363635']
['3169'],['359259.25925925927']
['3233'],['333103.4482758621']
['3238'],['300000.0']
['3245'],['285671.6417910448']
['3198'],['256756.75675675675']
['3107'],['256756.75675675675']
['2997'],['272571.4285714286']
['2943'],['290303.0303030303']
['3013'],['305079.3650793651']
['3077'],['327118.6440677966']
['3130'],['352363.63636363635']
['3185'],['359259.25925925927']
['3234'],['339298.2456140351']
['3240'],['305079.3650793651']
['3234'],['281176.4705882353']
['3207'],['256756.75675675675']
['3107'],['256756.75675675675']
['3010'],['272571.4285714286']
['2953'],['285671.6417910448']
['3004'],['305079.3650793651']
['3077'],['321333.3333333333']
['3118'],['352363.63636363635']
['3184'],['359259.25925925927']
['3230'],['339298.2456140351']
['3242'],['315737.7049180328']
['3241'],['285671.6417910448']
['3209'],['260547.94520547945']
['3114'],['256756.75675675675']
['3021'],['268450.7042253521']
['2946'],['290303.0303030303']
['3027'],['310322.5806451613']
['3104'],['333103.4482758621']
['3148'],['352363.63636363635']
['3199'],['345714.28571428574']
['3049'],['272571.4285714286']
['2966'],['281176.4705882353']
['3018'],['310322.5806451613']
['3077'],['333103.4482758621']
['3145'],['352363.63636363635']
['3199'],['352363.63636363635']
['3241'],['327118.6440677966']
['3247'],['290303.0303030303']
['3243'],['264444.44444444444']
['3117'],['256756.75675675675']
['3041'],['268450.7042253521']
['2965'],['281176.4705882353']
['3022'],['300000.0']
['3067'],['327118.6440677966']
['3135'],['345714.28571428574']
['3185'],['352363.63636363635']
['3231'],['339298.2456140351']
['3243'],['310322.5806451613']
['3238'],['285671.6417910448']
['3233'],['260547.94520547945']
['3116'],['256756.75675675675']
['3039'],['264444.44444444444']
['2963'],['281176.4705882353']
['3013'],['295076.92307692306']
['3065'],['315737.7049180328']
['3115'],['339298.2456140351']
['3175'],['339298.2456140351']
['3212'],['321333.3333333333']
['3241'],['300000.0']
['3245'],['276811.59420289856']
['3234'],['256756.75675675675']
['3143'],['256756.75675675675']
['3029'],['272571.4285714286']
['3079'],['285671.6417910448']
['3144'],['295076.92307692306']
['3194'],['285671.6417910448']
['3231'],['268450.7042253521']
['3247'],['249473.68421052632']
['3247'],['236000.0']
['3196'],['218139.53488372092']
['3091'],['210112.35955056178']
['3018'],['215402.2988505747']
['2954'],['229756.0975609756']
['3053'],['236000.0']
['3101'],['245974.02597402598']
['3153'],['242564.10256410256']
['3210'],['232839.5061728395']
['3241'],['218139.53488372092']
['3245'],['202608.69565217392']
['3183'],['193333.33333333334']
['3087'],['188979.5918367347']
['2999'],['191134.0206185567']
['2950'],['193333.33333333334']
['3039'],['200215.05376344087']
['3079'],['207555.55555555556']
['3153'],['207555.55555555556']
['3195'],['200215.05376344087']
['3237'],['188979.5918367347']
['3242'],['182772.27722772278']
['3241'],['173207.54716981133']
['3125'],['167889.90825688074']
['3020'],['169629.62962962964']
['2949'],['175047.61904761905']
['3022'],['175047.61904761905']
['3076'],['182772.27722772278']
['3131'],['182772.27722772278']
['3192'],['180784.3137254902']
['3231'],['158086.95652173914']
['2969'],['159649.12280701756']
['2999'],['164504.5045045045']
['3057'],['166181.81818181818']
['3107'],['171401.86915887852']
['3161'],['171401.86915887852']
['3215'],['176923.07692307694']
['3249'],['173207.54716981133']
['3238'],['175047.61904761905']
['3114'],['175047.61904761905']
['3021'],['178834.9514563107']
['2947'],['182772.27722772278']
['3008'],['197872.3404255319']
['3174'],['193333.33333333334']
['3226'],['197872.3404255319']
['3246'],['182772.27722772278']
['3186'],['188979.5918367347']
['3083'],['193333.33333333334']
['2982'],['197872.3404255319']
['3003'],['202608.69565217392']
['3070'],['210112.35955056178']
['3112'],['210112.35955056178']
['3170'],['210112.35955056178']
['3219'],['207555.55555555556']
['3239'],['212727.27272727274']
['3210'],['205054.94505494504']
['3098'],['207555.55555555556']
['2989'],['202608.69565217392']
['2947'],['207555.55555555556']
['3010'],['210112.35955056178']
['3066'],['215402.2988505747']
['3112'],['212727.27272727274']
['3168'],['186868.68686868687']
['3007'],['184800.0']
['2943'],['188979.5918367347']
['3017'],['191134.0206185567']
['3065'],['193333.33333333334']
['3130'],['193333.33333333334']
['3167'],['193333.33333333334']
['3216'],['186868.68686868687']
['3249'],['180784.3137254902']
['3233'],['178834.9514563107']
['3102'],['167889.90825688074']
['3007'],['167889.90825688074']
['2949'],['169629.62962962964']
['3018'],['169629.62962962964']
['3057'],['173207.54716981133']
['3100'],['173207.54716981133']
['3145'],['169629.62962962964']
['3191'],['164504.5045045045']
['3226'],['158086.95652173914']
['3245'],['152100.84033613445']
['3185'],['146504.0650406504']
['3103'],['142539.68253968254']
['3002'],['142539.68253968254']
['2956'],['145161.29032258064']
['3033'],['145161.29032258064']
['3093'],['146504.0650406504']
['3136'],['146504.0650406504']
['3178'],['142539.68253968254']
['3219'],['138759.6899224806']
['3239'],['133984.96240601502']
['3243'],['129489.05109489051']
['3119'],['128405.79710144928']
['3029'],['126285.71428571429']
['2960'],['128405.79710144928']
['3023'],['129489.05109489051']
['3066'],['129489.05109489051']
['3108'],['129489.05109489051']
['3142'],['129489.05109489051']
['3183'],['126285.71428571429']
['3234'],['124225.35211267606']
['3240'],['115629.13907284768']
['3000'],['114736.84210526316']
['2950'],['116533.33333333333']
['3020'],['117449.6644295302']
['3078'],['118378.37837837837']
['3114'],['118378.37837837837']
['3153'],['115629.13907284768']
['3202'],['113856.2091503268']
['3235'],['111282.05128205128']
['3234'],['108805.03144654087']
['3103'],['107204.96894409938']
['3019'],['107204.96894409938']
['2955'],['108000.0']
['3027'],['108805.03144654087']
['3063'],['110445.85987261146']
['3119'],['109620.25316455697']
['3172'],['108805.03144654087']
['3217'],['105644.1717791411']
['3244'],['102634.73053892216']
['3148'],['100470.58823529411']
['3031'],['101183.43195266272']
['2953'],['102634.73053892216']
['3010'],['102634.73053892216']
['3056'],['104121.21212121213']
['3106'],['105644.1717791411']
['3151'],['104121.21212121213']
['3192'],['101904.76190476191']
['3227'],['100470.58823529411']
['3235'],['97701.14942528735']
['3110'],['96363.63636363637']
['2969'],['97701.14942528735']
['2994'],['100470.58823529411']
['3050'],['101904.76190476191']
['3108'],['102634.73053892216']
['3153'],['100470.58823529411']
['3192'],['99069.76744186046']
['3232'],['97701.14942528735']
['3168'],['95056.17977528089']
['3072'],['95706.21468926554']
['2982'],['97028.57142857143']
['2960'],['98381.5028901734']
['3033'],['101904.76190476191']
['3070'],['104121.21212121213']
['3121'],['104878.0487804878']
['3159'],['103373.49397590362']
['3203'],['101183.43195266272']
['3235'],['99766.08187134503']
['3143'],['99069.76744186046']
['3022'],['99766.08187134503']
['2953'],['102634.73053892216']
['3005'],['112987.01298701299']
['3158'],['110445.85987261146']
['3217'],['107204.96894409938']
['3161'],['105644.1717791411']
['3031'],['106419.75308641975']
['2943'],['108805.03144654087']
['2998'],['112987.01298701299']
['3046'],['116533.33333333333']
['3093'],['121241.37931034483']
['3136'],['119319.72789115646']
['3180'],['117449.6644295302']
['3227'],['115629.13907284768']
['3162'],['112129.03225806452']
['3057'],['112987.01298701299']
['2966'],['115629.13907284768']
['2980'],['120273.97260273973']
['3034'],['125248.22695035461']
['3114'],['128405.79710144928']
['3166'],['126285.71428571429']
['3198'],['122222.22222222222']
['3229'],['120273.97260273973']
['3130'],['117449.6644295302']
['3008'],['118378.37837837837']
['2936'],['121241.37931034483']
['2985'],['125248.22695035461']
['3037'],['129489.05109489051']
['3074'],['133984.96240601502']
['3114'],['132835.8208955224']
['3143'],['131703.7037037037']
['3180'],['129489.05109489051']
['3222'],['126285.71428571429']
['3118'],['122222.22222222222']
['3014'],['122222.22222222222']
['2925'],['126285.71428571429']
['2978'],['129489.05109489051']
['3029'],['135151.51515151514']
['3056'],['137538.46153846153']
['3100'],['138759.6899224806']
['3137'],['136335.87786259543']
['3178'],['132835.8208955224']
['3214'],['129489.05109489051']
['3100'],['126285.71428571429']
['2979'],['128405.79710144928']
['2921'],['131703.7037037037']
['2977'],['133984.96240601502']
['3018'],['140000.0']
['3059'],['143840.0']
['3097'],['143840.0']
['3138'],['140000.0']
['3173'],['137538.46153846153']
['3139'],['130588.23529411765']
['3056'],['130588.23529411765']
['2963'],['131703.7037037037']
['2920'],['136335.87786259543']
['2975'],['140000.0']
['3016'],['147868.8524590164']
['3065'],['149256.19834710745']
['3095'],['147868.8524590164']
['3145'],['143840.0']
['3171'],['138759.6899224806']
