ср сент. 15 2021,"5, fff, 5"
['1193'],['0']
['1455'],['0']
['1716'],['0']
['1929'],['0']
['2116'],['20460000.0']
['1940'],['0']
['1801'],['0']
['1654'],['20460000.0']
['1469'],['0']
['1324'],['0']
['1233'],['0']
['1196'],['0']
['1526'],['0']
['1729'],['0']
['1918'],['0']
['2043'],['20460000.0']
['1897'],['0']
['1748'],['0']
['1584'],['0']
['1409'],['0']
['1273'],['20460000.0']
['1196'],['0']
['1246'],['0']
['1546'],['0']
['1775'],['0']
['1961'],['0']
['1929'],['0']
['1832'],['0']
['1676'],['0']
['1532'],['0']
['1389'],['0']
['1275'],['0']
['1193'],['0']
['1150'],['0']
['1416'],['20460000.0']
['1656'],['0']
['1869'],['0']
['1966'],['0']
['1851'],['0']
['1741'],['0']
['1571'],['0']
['1419'],['0']
['1286'],['0']
['1205'],['0']
['1140'],['0']
['1321'],['0']
['1527'],['0']
['1754'],['0']
['1944'],['0']
['1869'],['0']
['1752'],['0']
['1616'],['0']
['1481'],['0']
['1350'],['0']
['1242'],['0']
['1167'],['0']
['1116'],['0']
['1353'],['0']
['1562'],['0']
['1794'],['0']
['1960'],['0']
['1821'],['0']
['1702'],['0']
['1563'],['0']
['1421'],['0']
['1302'],['0']
['1204'],['0']
['1141'],['0']
['1107'],['0']
['1401'],['0']
['1631'],['0']
['1831'],['0']
['1895'],['20460000.0']
['1786'],['0']
['1663'],['0']
['1524'],['20460000.0']
['1381'],['0']
['1264'],['0']
['1185'],['0']
['1123'],['0']
['1270'],['0']
['1480'],['0']
['1681'],['0']
['1875'],['0']
['1851'],['0']
['1759'],['0']
['1637'],['0']
['1509'],['0']
['1361'],['0']
['1261'],['0']
['1188'],['0']
['1135'],['0']
['1309'],['0']
['1548'],['0']
['1750'],['0']
['1936'],['0']
['1861'],['0']
['1750'],['0']
['1623'],['0']
['1493'],['0']
['1378'],['0']
['1276'],['0']
['1195'],['0']
['1140'],['0']
['1396'],['0']
['1604'],['0']
['1826'],['0']
['2015'],['0']
['1871'],['0']
['1779'],['0']
['1630'],['0']
['1500'],['0']
['1385'],['0']
['1299'],['0']
['1233'],['0']
['1206'],['0']
['1495'],['0']
['1702'],['0']
['1897'],['0']
['2040'],['0']
['1892'],['0']
['1791'],['20460000.0']
['1654'],['0']
['1529'],['0']
['1426'],['0']
['1330'],['0']
['1266'],['0']
['1299'],['0']
['1583'],['0']
['1805'],['0']
['2017'],['0']
['1752'],['0']
['1534'],['0']
['1387'],['0']
['1563'],['4076000.0']
['1920'],['0']
['2143'],['0']
['2035'],['0']
['1888'],['0']
['1763'],['0']
['1606'],['0']
['1509'],['0']
['1431'],['0']
['1369'],['0']
['1652'],['0']
['1921'],['0']
['2158'],['0']
['2135'],['20460000.0']
['2028'],['0']
['1882'],['0']
['1695'],['0']
['1582'],['0']
['1522'],['20460000.0']
['1447'],['0']
['1775'],['0']
['2037'],['0']
['2287'],['0']
['2142'],['0']
['1996'],['0']
['1831'],['0']
['1678'],['0']
['1591'],['20460000.0']
['1534'],['0']
['1747'],['0']
['1961'],['0']
['2170'],['0']
['2371'],['0']
['2248'],['0']
['2135'],['0']
['1987'],['0']
['1869'],['0']
['1737'],['0']
['1654'],['0']
['1634'],['0']
['1964'],['0']
['2194'],['0']
['2390'],['0']
['2349'],['0']
['2236'],['0']
['2085'],['0']
['1945'],['0']
['1824'],['0']
['1743'],['0']
['1682'],['0']
['1905'],['0']
['2129'],['0']
['2318'],['0']
['2519'],['20460000.0']
['1921'],['0']
['1819'],['0']
['1756'],['0']
['2030'],['0']
['2238'],['0']
['2435'],['0']
['2601'],['0']
['2465'],['0']
['2350'],['0']
['2225'],['0']
['2075'],['0']
['1974'],['0']
['1880'],['20460000.0']
['1829'],['0']
['2106'],['0']
['2286'],['0']
['2479'],['0']
['2668'],['0']
['2567'],['0']
['2433'],['0']
['2300'],['0']
['2159'],['0']
['2055'],['0']
['1980'],['0']
['1919'],['0']
['2096'],['0']
['2280'],['0']
['2487'],['20460000.0']
['2653'],['0']
['2702'],['0']
['2583'],['0']
['2469'],['0']
['2316'],['0']
['2186'],['0']
['2094'],['0']
['2027'],['0']
['2109'],['0']
['2624'],['0']
['2812'],['0']
['2694'],['0']
['2472'],['0']
['2292'],['0']
['2160'],['0']
['2067'],['0']
['2389'],['0']
['2644'],['0']
['2914'],['0']
['2748'],['0']
['2526'],['0']
['2319'],['0']
['2183'],['20460000.0']
['2295'],['0']
['2558'],['20460000.0']
['2843'],['0']
['2902'],['0']
['2727'],['0']
['2496'],['0']
['2330'],['0']
['2223'],['0']
['2477'],['0']
['2754'],['0']
['2998'],['0']
['2916'],['0']
['2713'],['0']
['2488'],['0']
['2337'],['0']
['2289'],['0']
['2669'],['0']
['2921'],['0']
['3160'],['0']
['2939'],['0']
['2716'],['0']
['2532'],['0']
['2395'],['0']
['2357'],['20460000.0']
['2700'],['0']
['2930'],['0']
['3170'],['0']
['3098'],['0']
['2949'],['0']
['2804'],['0']
['2652'],['0']
['2520'],['0']
['2445'],['20460000.0']
['2429'],['0']
['2696'],['0']
['2865'],['0']
['3061'],['0']
['3236'],['0']
['3122'],['0']
['2988'],['0']
['2817'],['0']
['2648'],['0']
['2530'],['0']
['2455'],['0']
['2656'],['0']
['2817'],['0']
['3020'],['0']
['3196'],['0']
['3235'],['0']
['3096'],['0']
['2926'],['0']
['2758'],['0']
['2611'],['0']
['2526'],['0']
['2466'],['0']
['2665'],['0']
['2860'],['20460000.0']
['3034'],['0']
['3190'],['0']
['3235'],['0']
['3094'],['0']
['2919'],['0']
['2750'],['0']
['2607'],['0']
['2508'],['0']
['2471'],['0']
['2732'],['0']
['2924'],['0']
['3095'],['0']
['3231'],['0']
['3234'],['0']
['3071'],['0']
['2895'],['0']
['2709'],['0']
['2571'],['0']
['2480'],['0']
['2635'],['0']
['2804'],['0']
['2988'],['0']
['3176'],['0']
['3233'],['0']
['3166'],['0']
['3008'],['0']
['2786'],['0']
['2628'],['0']
['2529'],['0']
['2465'],['0']
['2694'],['0']
['2909'],['0']
['3078'],['0']
['3224'],['0']
['3242'],['0']
['3110'],['0']
['2961'],['0']
['2776'],['0']
['2622'],['0']
['2508'],['0']
['2469'],['0']
['2709'],['0']
['2861'],['0']
['3079'],['0']
['3228'],['0']
['3240'],['0']
['3093'],['0']
['2939'],['0']
['2686'],['0']
['2558'],['0']
['2462'],['0']
['2635'],['0']
['2835'],['0']
['3056'],['0']
['3227'],['0']
['3242'],['0']
['3108'],['20460000.0']
['2915'],['0']
['2699'],['0']
['2556'],['0']
['2463'],['0']
['2612'],['0']
['2793'],['0']
['2992'],['0']
['3162'],['0']
['3234'],['0']
['3165'],['0']
['2990'],['0']
['2782'],['0']
['2638'],['0']
['2505'],['20460000.0']
['2445'],['20460000.0']
['2692'],['0']
['2901'],['0']
['3098'],['0']
['3231'],['0']
['3243'],['0']
['3091'],['0']
['2892'],['0']
['2683'],['0']
['2524'],['0']
['2453'],['0']
['2700'],['0']
['2903'],['0']
['3087'],['0']
['3232'],['0']
['3231'],['0']
['3025'],['0']
['2836'],['20460000.0']
['2616'],['0']
['2488'],['0']
['2595'],['0']
['2804'],['0']
['3017'],['0']
['3209'],['0']
['3234'],['3393333.3333333335']
['3147'],['0']
['2966'],['20460000.0']
['2769'],['0']
['2598'],['0']
['2486'],['0']
['2656'],['0']
['2839'],['0']
['3010'],['0']
['3192'],['0']
['3239'],['20460000.0']
['3148'],['0']
['2982'],['0']
['2777'],['0']
['2609'],['0']
['2497'],['0']
['2633'],['0']
['2820'],['0']
['2986'],['0']
['3155'],['0']
['3241'],['0']
['3184'],['0']
['3055'],['0']
['2864'],['0']
['2684'],['0']
['2538'],['0']
['2464'],['0']
['2665'],['0']
['2848'],['0']
['2995'],['0']
['3170'],['0']
['3235'],['0']
['3236'],['0']
['3072'],['0']
['2849'],['20460000.0']
['2674'],['0']
['2515'],['0']
['2447'],['0']
['2693'],['0']
['2873'],['0']
['3044'],['0']
['3203'],['0']
['3236'],['0']
['3148'],['20460000.0']
['2964'],['0']
['2754'],['0']
['2557'],['0']
['2458'],['0']
['2785'],['0']
['2953'],['0']
['3135'],['0']
['3247'],['0']
['3245'],['0']
['3005'],['0']
['2639'],['0']
['2475'],['0']
['2438'],['0']
['2729'],['0']
['2917'],['0']
['3100'],['0']
['3231'],['0']
['3194'],['0']
['3016'],['0']
['2786'],['0']
['2519'],['0']
['2420'],['0']
['2596'],['0']
['2791'],['0']
['3078'],['0']
['3234'],['0']
['2740'],['0']
['2509'],['20460000.0']
['2411'],['0']
['2605'],['0']
['2766'],['0']
['2941'],['0']
['3124'],['0']
['3229'],['0']
['3077'],['0']
['2912'],['0']
['2719'],['0']
['2551'],['0']
['2451'],['0']
['2414'],['0']
['2659'],['0']
['2827'],['0']
['3009'],['0']
['3171'],['0']
['3178'],['0']
['2998'],['0']
['2782'],['0']
['2570'],['0']
['2442'],['0']
['2609'],['0']
['2818'],['0']
['3011'],['0']
['3207'],['0']
['3057'],['0']
['2839'],['0']
['2595'],['0']
['2450'],['0']
['2458'],['0']
['2731'],['0']
['2965'],['0']
['3172'],['0']
['3101'],['0']
['2936'],['0']
['2729'],['0']
['2533'],['0']
['2420'],['0']
['2510'],['0']
['2707'],['0']
['2952'],['0']
['3154'],['0']
['3084'],['0']
['2908'],['0']
['2708'],['20460000.0']
['2535'],['0']
['2426'],['0']
['2536'],['0']
['2710'],['0']
['2874'],['0']
['3059'],['0']
['3207'],['0']
['3036'],['0']
['2857'],['0']
['2673'],['0']
['2520'],['0']
['2425'],['20460000.0']
['2457'],['0']
['2693'],['0']
['2822'],['0']
['3134'],['0']
['3108'],['0']
['2936'],['0']
['2744'],['0']
['2523'],['0']
['2421'],['0']
['2455'],['0']
['2752'],['0']
['2991'],['0']
['3185'],['20460000.0']
['3001'],['0']
['2758'],['0']
['2549'],['0']
['2425'],['0']
['2480'],['0']
['2798'],['0']
['3037'],['0']
['3119'],['0']
['2849'],['20460000.0']
['2578'],['0']
['2428'],['0']
['2530'],['0']
['2754'],['0']
['3011'],['0']
['3215'],['0']
['2930'],['0']
['2693'],['0']
['2506'],['0']
['2397'],['0']
['2645'],['0']
['2846'],['0']
['3042'],['0']
['3212'],['0']
['3022'],['0']
['2860'],['0']
['2644'],['0']
['2494'],['0']
['2422'],['0']
['2563'],['0']
['2780'],['0']
['3094'],['0']
['3167'],['0']
['3029'],['0']
['2853'],['0']
['2665'],['0']
['2539'],['0']
['2429'],['0']
['2347'],['0']
['2431'],['0']
['2318'],['0']
['2208'],['5100000.0']
['2084'],['1555384.6153846155']
['1949'],['1260000.0']
['1816'],['1442857.142857143']
['1719'],['1686666.6666666667']
['1647'],['2540000.0']
['1584'],['4076000.0']
['1547'],['6806666.666666667']
['1495'],['3393333.3333333335']
['1438'],['1260000.0']
['1354'],['910909.0909090909']
['1243'],['686206.8965517242']
['1114'],['767692.3076923077']
['997'],['910909.0909090909']
['921'],['1057894.7368421052']
['869'],['1345333.3333333333']
['833'],['1184705.8823529412']
['797'],['1004000.0']
['745'],['662666.6666666666']
['669'],['518947.36842105264']
['541'],['533513.5135135135']
['455'],['600606.0606060605']
['403'],['640645.1612903225']
['354'],['767692.3076923077']
['330'],['833333.3333333334']
['318'],['833333.3333333334']
['304'],['640645.1612903225']
['276'],['533513.5135135135']
['182'],['425217.39130434784']
['61'],['467619.04761904763']
['0'],['565142.8571428572']
['0'],['686206.8965517242']
['4'],['533513.5135135135']
['0'],['425217.39130434784']
['0'],['373846.1538461539']
['0'],['406666.6666666667']
['0'],['456279.06976744183']
['4'],['492000.0']
['0'],['565142.8571428572']
['10'],['533513.5135135135']
['25'],['467619.04761904763']
['12'],['406666.6666666667']
['0'],['339298.2456140351']
['0'],['366415.09433962265']
['0'],['389600.0']
['3'],['415744.6808510638']
['0'],['479512.1951219512']
['8'],['518947.36842105264']
['42'],['456279.06976744183']
['46'],['373846.1538461539']
['0'],['321333.3333333333']
['0'],['327118.6440677966']
['0'],['381568.6274509804']
['0'],['425217.39130434784']
['38'],['456279.06976744183']
['46'],['445454.54545454547']
['75'],['397959.1836734694']
['66'],['345714.28571428574']
['5'],['305079.3650793651']
['0'],['333103.4482758621']
['0'],['366415.09433962265']
['0'],['397959.1836734694']
['7'],['425217.39130434784']
['63'],['425217.39130434784']
['109'],['373846.1538461539']
['93'],['321333.3333333333']
['24'],['290303.0303030303']
['0'],['300000.0']
['0'],['327118.6440677966']
['0'],['352363.63636363635']
['0'],['373846.1538461539']
['0'],['406666.6666666667']
['62'],['415744.6808510638']
['108'],['381568.6274509804']
['152'],['345714.28571428574']
['131'],['315737.7049180328']
['73'],['281176.4705882353']
['4'],['285671.6417910448']
['0'],['310322.5806451613']
['0'],['310322.5806451613']
['226'],['321333.3333333333']
['452'],['333103.4482758621']
['714'],['345714.28571428574']
['937'],['345714.28571428574']
['1159'],['359259.25925925927']
['1171'],['366415.09433962265']
['1064'],['366415.09433962265']
['950'],['373846.1538461539']
['856'],['389600.0']
['829'],['406666.6666666667']
['1057'],['415744.6808510638']
['1273'],['415744.6808510638']
['1491'],['425217.39130434784']
['1683'],['435111.1111111111']
['1880'],['456279.06976744183']
['1863'],['445454.54545454547']
['1756'],['445454.54545454547']
['1659'],['467619.04761904763']
['1531'],['492000.0']
['1455'],['492000.0']
['1629'],['518947.36842105264']
['1837'],['548888.8888888889']
['2065'],['548888.8888888889']
['2265'],['565142.8571428572']
['2472'],['548888.8888888889']
['2374'],['582352.9411764706']
['2220'],['582352.9411764706']
['2019'],['620000.0']
['1949'],['640645.1612903225']
['2141'],['662666.6666666666']
['2328'],['686206.8965517242']
['2523'],['686206.8965517242']
['2687'],['738518.5185185185']
['2863'],['738518.5185185185']
['2815'],['711428.5714285715']
['2666'],['738518.5185185185']
['2503'],['738518.5185185185']
['2371'],['767692.3076923077']
['2359'],['833333.3333333334']
['2586'],['870434.7826086957']
['2762'],['870434.7826086957']
['2911'],['870434.7826086957']
['3064'],['910909.0909090909']
['3214'],['870434.7826086957']
['3152'],['870434.7826086957']
['3013'],['870434.7826086957']
['2887'],['955238.0952380953']
['2771'],['870434.7826086957']
['2671'],['1004000.0']
['2632'],['1004000.0']
['2839'],['1057894.7368421052']
['2994'],['1057894.7368421052']
['3185'],['1057894.7368421052']
['3234'],['1057894.7368421052']
['3238'],['1117777.7777777778']
['3238'],['1117777.7777777778']
['3101'],['1117777.7777777778']
['2966'],['1117777.7777777778']
['2840'],['1184705.8823529412']
['2736'],['1260000.0']
['2669'],['1260000.0']
['3026'],['1345333.3333333333']
['3188'],['1442857.142857143']
['3233'],['1345333.3333333333']
['3238'],['1442857.142857143']
['3237'],['1442857.142857143']
['3109'],['1442857.142857143']
['2970'],['1442857.142857143']
['2831'],['1442857.142857143']
['2733'],['1555384.6153846155']
['2671'],['1555384.6153846155']
['2825'],['1686666.6666666667']
['2984'],['1841818.1818181819']
['3122'],['1841818.1818181819']
['3241'],['1841818.1818181819']
['3236'],['2028000.0']
['3239'],['1841818.1818181819']
['3172'],['1841818.1818181819']
['3028'],['1841818.1818181819']
['2878'],['1841818.1818181819']
['2752'],['1841818.1818181819']
['2665'],['1841818.1818181819']
['2768'],['2028000.0']
